iter	Passed	Remaining
416	2925	4089
417	2932	4082
418	2939	4075
419	2946	4068
420	2952	4060
421	2960	4054
422	2966	4046
423	2973	4039
424	2979	4031
425	2986	4023
426	2993	4017
427	3000	4010
428	3008	4003
429	3013	3995
430	3020	3987
431	3026	3979
432	3033	3972
433	3041	3966
434	3047	3958
435	3055	3951
436	3061	3943
437	3067	3935
438	3074	3928
439	3080	3920
440	3087	3913
441	3094	3906
442	3101	3899
443	3109	3894
444	3116	3886
445	3124	3881
446	3131	3873
447	3138	3866
448	3144	3859
449	3152	3853
450	3160	3846
451	3167	3840
452	3173	3832
453	3180	3825
454	3187	3818
455	3194	3811
456	3202	3804
457	3209	3798
458	3217	3791
459	3223	3784
460	3230	3777
461	3238	3770
462	3244	3763
463	3252	3756
464	3258	3749
465	3265	3742
466	3271	3734
467	3278	3726
468	3285	3719
469	3292	3712
470	3299	3705
471	3305	3698
472	3313	3692
473	3322	3687
474	3331	3681
475	3338	3675
476	3346	3669
477	3352	3661
478	3359	3653
479	3366	3647
480	3372	3639
481	3380	3632
482	3386	3625
483	3393	3617
484	3399	3610
485	3406	3603
486	3414	3596
487	3422	3590
488	3429	3584
489	3436	3576
490	3443	3569
491	3449	3561
492	3456	3554
493	3462	3546
494	3469	3539
495	3475	3531
496	3483	3525
497	3490	3518
498	3497	3511
499	3503	3503
500	3512	3498
501	3529	3501
502	3537	3495
503	3546	3489
504	3552	3482
505	3559	3475
506	3566	3467
507	3572	3460
508	3579	3452
509	3585	3444
510	3592	3438
511	3599	3430
512	3606	3423
513	3612	3415
514	3619	3408
515	3626	3401
516	3633	3394
517	3641	3388
518	3647	3380
519	3654	3373
520	3661	3366
521	3668	3358
522	3675	3352
523	3681	3344
524	3689	3338
525	3695	3330
526	3702	3323
527	3710	3316
528	3716	3308
529	3725	3303
530	3733	3297
531	3741	3291
532	3748	3284
533	3756	3277
534	3762	3270
535	3769	3263
536	3776	3256
537	3783	3248
538	3790	3242
539	3797	3234
540	3804	3227
541	3810	3219
542	3817	3212
543	3823	3205
544	3830	3197
545	3837	3190
546	3844	3183
547	3851	3176
548	3857	3169
549	3863	3161
550	3870	3154
551	3877	3146
552	3884	3139
553	3891	3132
554	3897	3124
555	3904	3118
556	3911	3110
557	3918	3104
558	3926	3097
559	3935	3091
560	3943	3085
561	3952	3080
562	3958	3072
563	3966	3065
564	3972	3058
565	3979	3051
566	3987	3044
567	3993	3037
568	4001	3030
569	4007	3023
570	4014	3015
571	4020	3008
572	4027	3000
573	4034	2994
574	4041	2986
575	4048	2980
576	4054	2972
577	4060	2964
578	4067	2957
579	4074	2950
580	4082	2944
581	4088	2936
582	4095	2929
583	4102	2922
584	4109	2915
585	4116	2908
586	4123	2901
587	4131	2894
588	4139	2888
589	4146	2881
590	4153	2874
591	4160	2867
592	4167	2860
593	4173	2852
594	4180	2845
595	4187	2838
596	4194	2831
597	4201	2824
598	4207	2816
599	4214	2809
600	4220	2802
601	4227	2795
602	4234	2787
603	4240	2780
604	4247	2773
605	4254	2766
606	4262	2759
607	4269	2752
608	4276	2745
609	4282	2738
610	4289	2730
611	4295	2723
612	4302	2716
613	4309	2709
614	4316	2702
615	4325	2696
616	4334	2690
617	4341	2683
618	4349	2676
619	4356	2670
620	4363	2663
621	4370	2655
622	4376	2648
623	4383	2641
624	4390	2634
625	4396	2626
626	4403	2619
627	4410	2612
628	4416	2605
629	4424	2598
630	4430	2590
631	4437	2583
632	4444	2576
633	4451	2569
634	4458	2562
635	4466	2556
636	4473	2549
637	4483	2543
638	4490	2536
639	4497	2529
640	4503	2522
641	4510	2515
642	4516	2507
643	4523	2500
644	4530	2493
645	4537	2486
646	4545	2480
647	4553	2473
648	4560	2466
649	4568	2460
650	4575	2452
651	4582	2445
652	4588	2438
653	4595	2431
654	4603	2424
655	4609	2417
656	4616	2410
657	4623	2402
658	4629	2395
659	4637	2388
660	4643	2381
661	4650	2374
662	4657	2367
663	4663	2360
664	4671	2353
665	4678	2346
666	4686	2339
667	4692	2332
668	4700	2325
669	4706	2318
670	4714	2311
671	4721	2304
672	4728	2297
673	4734	2290
674	4741	2283
675	4749	2276
676	4756	2269
677	4763	2262
678	4770	2255
679	4777	2248
680	4784	2241
681	4790	2233
682	4797	2226
683	4804	2219
684	4811	2212
685	4817	2205
686	4824	2197
687	4831	2191
688	4838	2183
689	4845	2177
690	4852	2170
691	4859	2163
692	4867	2156
693	4874	2149
694	4881	2142
695	4888	2135
696	4895	2128
697	4901	2120
698	4907	2113
699	4914	2106
700	4921	2099
701	4928	2092
702	4935	2085
703	4942	2078
704	4950	2071
705	4967	2068
706	4998	2071
707	5019	2070
708	5033	2066
709	5043	2059
710	5049	2052
711	5056	2045
712	5063	2038
713	5070	2030
714	5077	2024
715	5084	2016
716	5091	2009
717	5098	2002
718	5107	1996
719	5114	1988
720	5120	1981
721	5127	1974
722	5134	1967
723	5141	1960
724	5148	1952
725	5155	1945
726	5162	1938
727	5169	1931
728	5176	1924
729	5183	1917
730	5191	1910
731	5197	1903
732	5205	1896
733	5211	1888
734	5218	1881
735	5225	1874
736	5231	1866
737	5238	1859
738	5245	1852
739	5253	1845
740	5259	1838
741	5266	1831
742	5273	1824
743	5281	1817
744	5289	1810
745	5295	1802
746	5302	1795
747	5309	1788
748	5315	1781
749	5322	1774
750	5329	1767
751	5337	1760
752	5344	1753
753	5350	1745
754	5358	1738
755	5366	1731
756	5373	1725
757	5380	1717
758	5388	1710
759	5394	1703
760	5402	1696
761	5409	1689
762	5415	1682
763	5422	1675
764	5428	1667
765	5435	1660
766	5443	1653
767	5450	1646
768	5457	1639
769	5464	1632
770	5471	1625
771	5477	1617
772	5485	1610
773	5491	1603
774	5499	1596
775	5506	1589
776	5513	1582
777	5520	1575
778	5526	1567
779	5533	1560
780	5540	1553
781	5547	1546
782	5553	1539
