iter	MultiClass
0	1.012036519
1	0.9404008896
2	0.8798589175
3	0.8308237879
4	0.7890225868
5	0.7538148888
6	0.7224553679
7	0.6959821098
8	0.6723892795
9	0.6530452664
10	0.6335160093
11	0.6167691624
12	0.6024078865
13	0.5889016931
14	0.5763109468
15	0.5656524724
16	0.5559513038
17	0.5470680745
18	0.5387181697
19	0.5318354913
20	0.5252084262
21	0.5191254911
22	0.5133562256
23	0.5082277486
24	0.5037315358
25	0.4994718223
26	0.4951366442
27	0.4913329822
28	0.4883759486
29	0.485399902
30	0.4825137799
31	0.4796250753
32	0.4773658055
33	0.4750180287
34	0.4728810322
35	0.4707434518
36	0.4681569474
37	0.4656866971
38	0.463805113
39	0.4621708031
40	0.4604914096
41	0.4593644335
42	0.4580237715
43	0.4570733999
44	0.4556900961
45	0.4540294365
46	0.4525530471
47	0.4511786606
48	0.4496290471
49	0.4486663671
50	0.4475081124
51	0.446563912
52	0.4446520501
53	0.4432470103
54	0.4418794774
55	0.4411210169
56	0.4402759664
57	0.4393149387
58	0.4382526321
59	0.4368471049
60	0.4360643369
61	0.4353218349
62	0.4340355048
63	0.4330917599
64	0.4322368895
65	0.4312558462
66	0.4306398895
67	0.4295124548
68	0.4285670621
69	0.4279999976
70	0.4274252123
71	0.4264892097
72	0.4259633861
73	0.4248298838
74	0.4242091973
75	0.4232856559
76	0.4227497144
77	0.4219219675
78	0.4208751538
79	0.4200471194
80	0.4191763495
81	0.4186718083
82	0.4178311102
83	0.4170063124
84	0.416448383
85	0.4155794765
86	0.4148491691
87	0.4139129016
88	0.4127014794
89	0.4116966222
90	0.41089871
91	0.4100868735
92	0.4093883209
93	0.4088284092
94	0.4082555897
95	0.4072972587
96	0.4067060479
97	0.406152926
98	0.4054119864
99	0.4050722026
100	0.4045955084
101	0.4037640068
102	0.4033936478
103	0.4023164453
104	0.4015544378
105	0.4008005629
106	0.3999329886
107	0.3992947615
108	0.3987861339
109	0.3980729848
110	0.3974532781
111	0.3966482074
112	0.3958049854
113	0.3951168878
114	0.394434977
115	0.393517116
116	0.3925882464
117	0.3920458105
118	0.3916822197
119	0.3908679392
120	0.3901952537
121	0.3893697463
122	0.3887794057
123	0.3883521684
124	0.3879043161
125	0.3874666579
126	0.3868454008
127	0.3862512179
128	0.3858390049
129	0.3850839801
130	0.3844064098
131	0.3835841556
132	0.3830626623
133	0.3825249022
134	0.3819133232
135	0.3813911956
136	0.3807922888
137	0.3804804158
138	0.3798402781
139	0.3790025302
140	0.3784840671
141	0.377736828
142	0.3775623258
143	0.377051718
144	0.3766199753
145	0.3756066773
146	0.3751449641
147	0.3744722513
148	0.3740505372
149	0.3734720615
150	0.3730079255
151	0.3725833791
152	0.3722125804
153	0.3716789708
154	0.3712098208
155	0.3706069871
156	0.3701617056
157	0.3697492165
158	0.3691257421
159	0.3687951407
160	0.3683843741
161	0.3675153614
162	0.3667532855
163	0.3664597475
164	0.3659196667
165	0.3655882132
166	0.3652708652
167	0.3648858173
168	0.3639666181
169	0.3636897378
170	0.3631803968
171	0.3627306075
172	0.3622200532
173	0.3619877152
174	0.3616100638
175	0.3611143608
176	0.3606294168
177	0.3598021662
178	0.3593619791
179	0.3588307975
180	0.3584418212
181	0.3582280366
182	0.3577788701
183	0.357295199
184	0.3568249721
185	0.3564754814
186	0.3558903258
187	0.3555509869
188	0.3549381335
189	0.3544743339
190	0.3539619256
191	0.3532671281
192	0.3530364301
193	0.3525746437
194	0.3520074459
195	0.3514576066
196	0.3508654978
197	0.350641091
198	0.3499677904
199	0.349346027
200	0.348988739
201	0.3482912668
202	0.3476318451
203	0.3472032908
204	0.3466341217
205	0.3463489154
206	0.3455837103
207	0.3452821279
208	0.3450856316
209	0.3446294926
210	0.3443231429
211	0.3439394764
212	0.3436330432
213	0.3432704675
214	0.3429290302
215	0.3425243291
216	0.3422309821
217	0.3415414783
218	0.3412205666
219	0.3408730752
220	0.3405495787
221	0.3401198156
222	0.3396784888
223	0.3393016634
224	0.3389372234
225	0.338686256
226	0.3382637826
227	0.3380042629
228	0.3375499062
229	0.3370645793
230	0.3369275437
231	0.3366903429
232	0.3362262088
233	0.3359190131
234	0.3352345597
235	0.3345659441
236	0.3339399561
237	0.333357009
238	0.3331510357
239	0.3328644183
240	0.3324490383
241	0.3319348139
242	0.3316897708
243	0.3310811928
244	0.3307729725
245	0.3303973701
246	0.3301343402
247	0.3299014785
248	0.329465329
249	0.3289173025
250	0.3286204802
251	0.3280994652
252	0.3278530835
253	0.3274444931
254	0.327065771
255	0.3267677643
256	0.3261866041
257	0.3255300002
258	0.3252619636
259	0.3247067095
260	0.3239609514
261	0.3234926738
262	0.3230507079
263	0.3227264215
264	0.3223882847
265	0.3220649117
266	0.3213359323
267	0.3209370567
268	0.3206248415
269	0.3203027867
270	0.3196099344
271	0.3192982828
272	0.3188351881
273	0.3184261254
274	0.318038082
275	0.317638165
276	0.317368841
277	0.3168886325
278	0.3165152437
279	0.3162493011
280	0.3159313924
281	0.315650946
282	0.3153601479
283	0.3149005125
284	0.3144944594
285	0.3139664079
286	0.3135520068
287	0.3132409996
288	0.313000754
289	0.3127546103
290	0.3124717897
291	0.3120910146
292	0.3117373808
293	0.3115330377
294	0.3114233048
295	0.3109965013
296	0.3108088121
297	0.3106303621
298	0.310440103
299	0.310249189
300	0.3097393843
301	0.3093505266
302	0.3092091498
303	0.3085279715
304	0.3082725941
305	0.3078566662
306	0.3075187075
307	0.3072745652
308	0.3069640247
309	0.3065671463
310	0.3063874605
311	0.3060652151
312	0.3058353519
313	0.3055485473
314	0.3051079601
315	0.3046627379
316	0.3043557613
317	0.3040834986
318	0.3038101866
319	0.3035103302
320	0.3031853066
321	0.3029666162
322	0.3022893462
323	0.3020081686
324	0.3017126765
325	0.30119967
326	0.3005993539
327	0.3002118694
328	0.2999902502
329	0.2996585573
330	0.2994768783
331	0.2992095222
332	0.2988380083
333	0.298610042
334	0.2983252283
335	0.2980079051
336	0.2976109225
337	0.2973086791
338	0.2968736749
339	0.296601304
340	0.2962488876
341	0.2961378803
342	0.2956480021
343	0.295293774
344	0.2951680883
345	0.2947306924
346	0.2946212532
347	0.2944074748
348	0.2941531264
349	0.2937062095
350	0.2935363308
351	0.293307038
352	0.2928238719
353	0.2924311333
354	0.2920008064
355	0.2914659775
356	0.2910123018
357	0.2908417723
358	0.2906015544
359	0.2901109347
360	0.2895960721
361	0.2893356389
362	0.2891920942
363	0.2887333833
364	0.2883319971
365	0.2880487566
366	0.2877640038
367	0.2875932892
368	0.2870808737
369	0.2865764416
370	0.2861318586
371	0.2855485554
372	0.2851839287
373	0.2850166304
374	0.2848196054
375	0.2845170591
376	0.2841046047
377	0.2835713633
378	0.2832340971
379	0.2830602814
380	0.2826604337
381	0.2824649511
382	0.2822602196
383	0.2820047904
384	0.2818331622
385	0.2816558677
386	0.2815065745
387	0.2811893191
388	0.2808826757
389	0.2806934603
390	0.2802752364
391	0.2797742364
392	0.2795389232
393	0.279331058
394	0.2789449453
395	0.278726943
396	0.2784915395
397	0.2781106921
398	0.2777370819
399	0.2775929167
400	0.277318271
401	0.2771944269
402	0.2769496733
403	0.276732315
404	0.2763417561
405	0.2758551077
406	0.2753850331
407	0.2751504502
408	0.2749067205
409	0.274718605
410	0.2744819084
411	0.2742813472
412	0.2740466986
413	0.2737122465
414	0.2735384452
415	0.2734147163
416	0.2730974971
417	0.2728655703
418	0.2727147712
419	0.2724749066
420	0.2721809195
421	0.271753737
422	0.2715483876
423	0.2713762846
424	0.271231381
425	0.2710605825
426	0.2706312809
427	0.2703934504
428	0.2700288229
429	0.269762846
430	0.2695506217
431	0.2694345825
432	0.2690602829
433	0.2688836484
434	0.2686429511
435	0.2683666819
436	0.2681575464
437	0.2679639698
438	0.2676370329
439	0.2672530271
440	0.2669301549
441	0.2666964872
442	0.2664361594
443	0.2663183583
444	0.265980384
445	0.2656962297
446	0.2652760462
447	0.2648416774
448	0.26468463
449	0.2643262871
450	0.2640442909
451	0.2637461637
452	0.2635361948
453	0.2633113112
454	0.2628904929
455	0.2625725408
456	0.2622259552
457	0.2618732202
458	0.2614675917
459	0.2612269499
460	0.2608669522
461	0.2607018286
462	0.2605091049
463	0.2601923801
464	0.2598901383
465	0.2597345008
466	0.2595163627
467	0.2591922753
468	0.2590466828
469	0.2588515321
470	0.258540533
471	0.2582315264
472	0.2581250581
473	0.2577548067
474	0.2572684502
475	0.2570569224
476	0.2567190972
477	0.2565941741
478	0.2564104694
479	0.2561093348
480	0.2559306731
481	0.2556367792
482	0.2554275949
